sociedade_comprada_apos_n_cortes;temperatura_2100_C;emissoes_2100_Gt_ano;nos_comprados;pac_arrecadado
0;2,4811;12,629;15;1047,5
1;2,4763;12,773;15;1037,5
2;2,4732;12,927;15;1027,5
3;2,4722;13,099;15;1017,5
4;2,4702;13,246;15;1007,5
5;2,4650;13,388;15;990,0
6;2,4594;13,456;15;972,5
8;2,4558;13,448;14;955,0
10;2,4510;13,321;14;920,0
12;2,4485;13,081;14;885,0
16;2,4482;12,986;14;867,5
nunca;2,4400;13,138;12;750,0
